mobID,biomeID
1,58
2,4
4,8
4,3
4,59
4,35
6,13
6,14
6,30
6,36
6,58
8,10
8,12
8,13
8,14
9,10
9,12
9,13
9,14
11,62
15,9
16,31
17,25
17,46
17,27
17,23
17,12
18,33
18,6
18,40
18,53
18,32
18,21
18,22
18,5
18,37
19,15
20,15
20,40
20,33
20,42
20,48
20,46
20,53
20,55
22,34
24,17
24,18
24,19
24,56
24,44
26,7
26,10
26,13
26,14
26,30
26,36
26,58
27,13
27,30
27,58
28,41
28,25
28,7
28,10
28,23
28,12
29,13
29,30
29,58
29,31
29,32
30,26
30,48
30,38
30,39
30,55
31,54
31,32
32,35
32,49
32,3
33,24
33,28
33,47
34,8
36,33
36,40
36,53
36,42
36,43
36,63
37,40
37,53
37,42
37,43
37,63
39,9
44,9
45,15
45,40
45,33
45,42
45,48
45,46
45,53
45,55
46,60
46,61
46,62
46,63
47,2
47,29
47,50
48,2
48,29
48,50
50,35
50,8
52,35
52,8
54,25
54,45
54,46
54,27
54,47
54,26
54,48
54,38
54,39
54,55
54,21
54,33
54,15
54,23
54,6
56,18
56,19
56,56
58,25
58,46
58,27
59,3
59,8
59,35
59,59
60,35
60,3
62,58
67,3
67,8
67,35
67,59
68,54
68,32
69,4
70,15
70,40
70,33
70,42
70,48
70,46
70,53
70,55
71,11
73,26
73,48
73,38
73,39
73,55
73,22
75,41
75,25
75,7
75,10
75,23
75,12
75,30
75,13
75,36
75,14
75,58
75,16
76,15
3,1
3,2
3,4
3,5
3,6
3,9
3,15
3,16
3,20
3,21
3,22
3,26
3,28
3,29
3,31
3,32
3,33
3,34
3,37
3,38
3,39
3,40
3,41
3,42
3,43
3,45
3,46
3,47
3,48
3,50
3,51
3,52
3,53
3,54
3,55
3,60
3,61
3,62
3,63
3,64
5,1
5,2
5,4
5,5
5,6
5,9
5,11
5,15
5,16
5,20
5,21
5,22
5,24
5,25
5,26
5,27
5,28
5,29
5,31
5,32
5,33
5,34
5,37
5,38
5,39
5,40
5,41
5,42
5,43
5,45
5,46
5,47
5,48
5,50
5,51
5,52
5,53
5,54
5,55
5,60
5,61
5,62
5,63
5,64
10,1
10,2
10,4
10,5
10,6
10,7
10,9
10,10
10,11
10,12
10,13
10,14
10,15
10,16
10,20
10,21
10,22
10,23
10,24
10,25
10,26
10,27
10,28
10,29
10,30
10,31
10,32
10,33
10,34
10,36
10,37
10,38
10,39
10,40
10,41
10,42
10,43
10,45
10,46
10,47
10,48
10,50
10,51
10,52
10,53
10,54
10,55
10,58
10,60
10,61
10,62
10,63
10,64
10,1
10,2
10,4
10,5
10,6
10,9
10,11
10,15
10,16
10,20
10,21
10,22
10,24
10,25
10,26
10,27
10,28
10,29
10,31
10,32
10,33
10,34
10,37
10,38
10,39
10,40
10,41
10,42
10,43
10,45
10,46
10,47
10,48
10,50
10,51
10,52
10,53
10,54
10,55
10,60
10,61
10,62
10,63
10,64
14,1
14,2
14,4
14,5
14,6
14,9
14,11
14,15
14,16
14,20
14,21
14,22
14,24
14,25
14,26
14,27
14,28
14,29
14,31
14,32
14,33
14,34
14,37
14,38
14,39
14,40
14,41
14,42
14,43
14,45
14,46
14,47
14,48
14,50
14,51
14,52
14,53
14,54
14,55
14,60
14,61
14,62
14,63
14,64
21,1
21,2
21,4
21,5
21,6
21,9
21,11
21,15
21,16
21,20
21,21
21,22
21,24
21,25
21,26
21,27
21,28
21,29
21,31
21,32
21,33
21,34
21,37
21,38
21,39
21,40
21,41
21,42
21,43
21,45
21,46
21,47
21,48
21,50
21,51
21,52
21,53
21,54
21,55
21,60
21,61
21,62
21,63
21,64
23,1
23,2
23,4
23,5
23,6
23,9
23,11
23,15
23,16
23,20
23,21
23,22
23,24
23,25
23,26
23,27
23,28
23,29
23,31
23,32
23,33
23,34
23,37
23,38
23,39
23,40
23,41
23,42
23,43
23,45
23,46
23,47
23,48
23,50
23,51
23,52
23,53
23,54
23,55
23,60
23,61
23,62
23,63
23,64
25,1
25,2
25,3
25,4
25,5
25,6
25,8
25,9
25,11
25,15
25,16
25,17
25,18
25,19
25,20
25,21
25,22
25,24
25,25
25,26
25,27
25,28
25,29
25,31
25,32
25,33
25,34
25,35
25,37
25,38
25,39
25,40
25,41
25,42
25,43
25,44
25,45
25,46
25,47
25,48
25,49
25,50
25,51
25,52
25,53
25,54
25,55
25,56
25,57
25,59
25,60
25,61
25,62
25,63
25,64
49,1
49,2
49,4
49,5
49,6
49,9
49,11
49,15
49,16
49,20
49,21
49,22
49,24
49,25
49,26
49,27
49,28
49,29
49,31
49,32
49,33
49,34
49,37
49,38
49,39
49,40
49,41
49,42
49,43
49,45
49,46
49,47
49,48
49,50
49,51
49,52
49,53
49,54
49,55
49,60
49,61
49,62
49,63
49,64
51,3
51,8
51,35
51,59
51,49
55,1
55,2
55,4
55,5
55,6
55,9
55,11
55,15
55,16
55,20
55,21
55,22
55,24
55,25
55,26
55,27
55,28
55,29
55,31
55,32
55,33
55,34
55,37
55,38
55,39
55,40
55,41
55,42
55,43
55,45
55,46
55,47
55,48
55,50
55,51
55,52
55,53
55,54
55,55
55,60
55,61
55,62
55,63
55,64
57,1
57,2
57,4
57,5
57,6
57,9
57,11
57,15
57,16
57,20
57,21
57,22
57,24
57,25
57,26
57,27
57,28
57,29
57,31
57,32
57,33
57,34
57,37
57,38
57,39
57,40
57,41
57,42
57,43
57,45
57,46
57,47
57,48
57,50
57,51
57,52
57,53
57,54
57,55
57,60
57,61
57,62
57,63
57,64
61,1
61,2
61,4
61,5
61,6
61,9
61,11
61,15
61,16
61,20
61,21
61,22
61,24
61,25
61,26
61,27
61,28
61,29
61,31
61,32
61,33
61,34
61,37
61,38
61,39
61,40
61,41
61,42
61,43
61,45
61,46
61,47
61,48
61,50
61,51
61,52
61,53
61,54
61,55
61,60
61,61
61,62
61,63
61,64
63,1
63,2
63,4
63,5
63,6
63,9
63,11
63,15
63,16
63,20
63,21
63,22
63,24
63,25
63,26
63,27
63,28
63,29
63,31
63,32
63,33
63,34
63,37
63,38
63,39
63,40
63,41
63,42
63,43
63,45
63,46
63,47
63,48
63,50
63,51
63,52
63,53
63,54
63,55
63,60
63,61
63,62
63,63
63,64
64,1
64,2
64,4
64,5
64,6
64,9
64,11
64,15
64,16
64,20
64,21
64,22
64,24
64,25
64,26
64,27
64,28
64,29
64,31
64,32
64,33
64,34
64,37
64,38
64,39
64,40
64,41
64,42
64,43
64,45
64,46
64,47
64,48
64,50
64,51
64,52
64,53
64,54
64,55
64,60
64,61
64,62
64,63
64,64
65,1
65,2
65,4
65,5
65,6
65,9
65,11
65,15
65,16
65,20
65,21
65,22
65,24
65,25
65,26
65,27
65,28
65,29
65,31
65,32
65,33
65,34
65,37
65,38
65,39
65,40
65,41
65,42
65,43
65,45
65,46
65,47
65,48
65,50
65,51
65,52
65,53
65,54
65,55
65,60
65,61
65,62
65,63
65,64
66,1
66,2
66,4
66,5
66,6
66,9
66,11
66,15
66,16
66,20
66,21
66,22
66,24
66,25
66,26
66,27
66,28
66,29
66,31
66,32
66,33
66,34
66,37
66,38
66,39
66,40
66,41
66,42
66,43
66,45
66,46
66,47
66,48
66,50
66,51
66,52
66,53
66,54
66,55
66,60
66,61
66,62
66,63
66,64
77,1
77,2
77,4
77,5
77,6
77,9
77,11
77,15
77,16
77,20
77,21
77,22
77,24
77,25
77,26
77,27
77,28
77,29
77,31
77,32
77,33
77,34
77,37
77,38
77,39
77,40
77,41
77,42
77,43
77,45
77,46
77,47
77,48
77,50
77,51
77,52
77,53
77,54
77,55
77,60
77,61
77,62
77,63
77,64
78,1
78,2
78,4
78,5
78,6
78,9
78,11
78,15
78,16
78,20
78,21
78,22
78,24
78,25
78,26
78,27
78,28
78,29
78,31
78,32
78,33
78,34
78,37
78,38
78,39
78,40
78,41
78,42
78,43
78,45
78,46
78,47
78,48
78,50
78,51
78,52
78,53
78,54
78,55
78,60
78,61
78,62
78,63
78,64
